Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Maranhão;Mato Grosso do Sul;Pará;Acre;Amapá;Mato Grosso;Paraíba;Roraima;Alagoas;Piauí;Rondônia;Sergipe;Tocantins;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
9;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
14;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
15;0;1;0;0;2;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
16;0;12;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;1
17;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3
18;0;0;0;0;1;1;0;0;1;0;1;0;0;0;7;1;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0
19;0;4;0;0;0;2;0;0;0;4;0;0;0;1;1;0;2;1;0;0;0;2;0;1;0;0;0;1;1;4;0;0
20;0;3;0;0;0;0;1;1;0;5;2;0;0;0;4;0;1;1;0;1;0;0;0;1;1;0;0;0;5;17;1;2
21;0;2;0;0;1;3;1;3;3;2;1;0;1;2;5;0;1;0;0;0;3;0;0;1;0;1;0;0;1;7;3;2
22;0;12;1;1;0;1;0;0;0;5;1;0;0;1;3;1;2;0;1;1;4;0;0;0;0;1;0;1;3;9;2;0
23;1;12;0;1;2;3;1;5;5;4;4;0;1;2;3;0;1;0;2;0;0;0;1;0;0;0;0;0;3;12;5;2
24;0;3;2;1;3;4;0;6;0;7;7;0;2;0;5;0;3;0;0;1;2;0;0;1;0;0;0;3;4;14;7;3
25;1;9;0;1;2;1;1;7;1;10;9;0;0;1;2;0;2;1;1;0;0;0;0;0;0;0;0;0;5;5;7;3
26;0;7;1;2;4;5;1;8;4;10;4;0;2;3;3;0;4;0;1;0;3;0;1;0;0;0;0;1;5;14;9;9
27;1;17;1;0;2;5;0;10;2;3;12;1;0;0;3;0;2;0;2;1;5;0;0;0;1;0;1;3;16;12;12;2
28;2;16;2;0;5;13;1;8;1;9;10;3;1;0;4;2;3;2;1;0;3;0;0;0;0;0;0;2;8;24;8;6
29;7;9;0;3;3;6;1;10;3;9;9;1;2;2;4;0;2;0;0;0;2;0;0;1;0;0;0;1;8;20;13;7
30;0;8;3;2;1;11;3;10;3;19;7;1;4;2;6;0;7;0;1;0;0;0;0;1;1;0;0;5;19;26;11;10
31;0;25;2;3;4;6;2;16;0;16;13;0;1;2;6;1;1;1;2;1;3;0;0;2;0;0;0;3;14;24;19;6
32;0;27;0;1;1;7;1;14;2;18;17;0;0;1;6;0;1;2;0;0;3;0;1;2;0;0;0;2;11;23;18;5
33;3;10;1;2;5;18;1;15;2;21;13;0;0;1;10;0;3;0;1;0;1;0;0;1;1;0;0;2;38;25;17;8
34;4;12;1;0;2;17;0;23;1;16;28;0;1;1;12;0;5;0;2;1;6;0;0;0;0;1;0;2;32;8;29;1
35;0;17;0;3;3;16;2;28;1;21;17;1;0;3;12;0;10;2;2;1;1;1;0;1;0;0;1;3;21;11;34;9
36;2;18;0;3;1;25;1;24;1;3;26;2;2;1;12;1;22;1;1;1;4;0;0;1;2;0;0;4;25;21;39;5
37;0;33;1;4;4;8;0;31;1;8;19;0;0;1;13;0;11;0;2;0;2;2;1;1;3;0;0;5;27;42;42;4
38;1;18;2;3;2;15;3;41;3;14;11;5;1;2;20;1;14;0;5;1;3;0;1;2;0;2;0;2;41;46;53;5
39;0;26;0;3;3;18;2;15;0;27;18;3;0;1;21;0;14;3;2;1;1;1;0;1;1;1;0;0;39;46;22;7
40;5;17;3;2;0;36;0;29;2;21;26;1;2;1;18;0;15;2;3;0;3;1;2;3;4;0;0;6;51;37;39;3
41;3;63;0;4;6;41;3;67;2;32;22;4;2;5;20;0;8;1;3;0;5;1;0;0;1;1;1;0;35;38;87;9
42;6;13;4;0;3;35;0;57;3;17;30;3;1;4;20;2;71;2;3;0;4;2;8;0;2;0;0;6;67;53;77;0
43;1;38;0;2;4;41;0;68;0;16;40;3;1;2;13;0;27;0;3;1;5;0;3;2;5;1;0;0;54;46;85;8
44;8;41;0;3;5;46;2;44;0;31;29;2;0;4;12;0;38;3;3;0;7;0;1;2;1;1;1;2;46;123;72;7
45;1;23;0;3;3;15;2;20;1;29;34;3;1;1;22;0;36;2;6;1;2;2;1;0;1;1;0;1;47;84;30;9
46;1;133;1;4;3;20;3;28;1;45;35;1;1;3;20;0;21;4;6;0;3;NA;2;1;4;0;2;3;55;76;46;8
47;3;25;0;3;2;39;1;20;0;51;58;0;0;5;NA;0;39;1;1;0;6;NA;5;1;4;2;1;4;60;91;46;4
