Dia;Irã;Itália;Coreia do Sul;Espanha;França;Alemanha;China;EUA;Brasil;Suíça;Reino Unido;Holanda;Bélgica;Austria;Noruega;Suécia;Portugal;Dinamarca;Canadá;Austrália;Malásia;Turquia;República Checa;Japão;Israel;Equador;Luxemburgo;Irlanda;Chile;Paquistão;Polônia;Tailândia;Romênia;Arábia Saudita;Russia;Filipinas;Indonésia;África do Sul;Finlândia;Grécia;India;Islândia;Peru;México;República Dominicana;Sérvia;Colômbia;Argentina;Emirados Arabes;Panama;Argéria;Singapura;Croácia;Catar;Ucrânia
0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;4;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0
3;7;3;4;1;1;0;16;0;0;0;1;0;0;0;0;0;0;0;1;2;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;2;0;1;0;2
4;8;2;2;1;1;0;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;2;0;0;0;0
5;9;5;2;2;0;0;26;0;0;1;0;1;0;0;0;0;0;1;0;0;0;21;0;0;0;7;2;0;0;1;0;0;0;0;1;7;14;0;0;0;0;0;2;1;4;1;0;1;0;0;4;0;0;0;0
6;11;4;2;5;2;0;49;1;1;0;1;0;0;0;0;1;1;1;0;0;0;7;0;0;0;4;0;1;0;0;0;0;0;0;0;-2;6;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4
7;12;8;1;7;3;0;2;0;2;0;1;2;0;0;0;0;1;1;0;1;0;7;0;0;0;9;4;0;0;2;0;0;0;0;0;1;7;0;0;1;1;0;0;1;10;0;3;0;0;3;0;0;0;0;1
8;11;5;0;11;2;0;38;5;3;1;2;0;3;1;0;0;1;1;0;0;0;15;0;0;0;1;0;0;1;1;0;0;0;0;0;1;6;0;0;0;0;0;2;1;8;2;0;2;0;0;2;0;0;0;3
9;15;18;3;7;8;2;42;1;5;0;2;1;0;0;0;1;3;0;0;0;0;16;0;0;0;6;0;1;1;1;2;0;3;0;0;6;10;0;0;1;1;0;2;1;11;2;2;2;0;2;2;0;0;0;4
10;15;27;1;19;0;0;46;4;4;1;0;1;0;0;0;1;6;2;3;0;0;17;0;1;0;2;0;2;0;1;1;0;4;0;0;8;1;0;1;0;0;1;0;1;3;1;0;1;2;0;4;0;2;0;3
11;17;28;11;1;14;1;102;1;10;1;0;0;1;0;0;3;2;3;1;0;0;16;1;2;0;12;0;1;1;1;2;0;4;1;2;2;6;0;0;1;0;0;2;2;9;4;1;4;0;1;1;0;0;0;2
12;21;41;0;78;15;0;64;2;9;0;13;5;0;2;0;1;9;4;3;0;0;23;0;0;0;10;1;2;1;2;4;0;6;1;0;3;3;1;0;0;3;0;5;4;6;5;5;5;0;5;3;0;2;0;5
13;49;49;7;62;0;4;66;3;12;7;0;2;1;0;0;3;10;0;1;0;2;37;2;1;1;2;6;10;1;1;2;0;6;1;1;7;20;0;0;7;3;0;2;4;3;1;3;1;0;3;2;0;1;0;5
14;43;36;0;94;31;2;72;4;13;2;35;8;5;1;0;1;10;11;3;0;0;46;3;1;0;15;3;3;1;2;0;0;3;0;0;9;9;1;2;2;0;0;6;4;8;4;7;4;0;7;4;0;0;0;NA
15;54;133;7;53;12;2;70;1;18;1;0;4;4;2;3;5;17;8;7;0;0;63;3;0;0;18;3;14;1;7;2;0;11;1;4;14;15;1;2;2;2;0;6;8;0;4;6;4;0;6;9;0;0;0;NA
16;63;97;2;191;0;6;85;6;15;0;16;19;7;0;0;4;16;2;2;2;1;79;0;0;2;27;1;10;1;5;4;0;6;4;1;3;12;2;2;3;8;0;8;1;NA;1;0;1;0;0;14;0;0;0;NA
17;75;168;6;90;58;7;87;8;19;13;66;15;16;2;0;1;24;7;4;1;1;69;2;0;2;25;1;8;4;1;9;3;22;0;8;7;8;0;2;2;0;1;17;8;NA;8;2;8;0;2;28;0;1;1;NA
18;85;196;3;207;0;4;100;4;25;1;40;19;30;8;0;4;19;11;1;0;6;76;5;0;3;27;6;17;4;7;2;0;17;2;7;10;14;0;2;4;4;0;6;13;NA;3;5;3;0;5;19;0;1;0;NA
19;97;0;1;213;0;16;107;7;23;13;56;30;8;5;3;11;21;13;4;1;4;NA;7;0;4;NA;1;14;2;6;10;0;10;6;6;8;21;4;2;2;3;0;12;10;NA;5;-5;4;1;4;25;0;4;0;NA
20;113;439;6;332;95;23;100;7;42;13;48;30;13;7;1;26;20;7;8;0;2;NA;8;0;0;NA;1;13;4;1;14;1;23;5;4;11;13;0;4;4;5;0;NA;NA;NA;NA;NA;NA;2;NA;NA;0;NA;1;NA
21;129;175;6;397;207;17;5;9;39;21;54;43;34;2;0;15;27;5;16;0;4;NA;8;0;3;NA;0;22;5;NA;14;1;18;4;9;29;11;NA;0;6;3;0;NA;NA;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA
22;135;368;0;539;112;10;252;22;84;23;87;34;56;19;0;28;22;13;7;0;3;NA;5;4;1;NA;NA;17;NA;NA;8;1;13;4;NA;8;10;NA;2;5;23;0;NA;NA;NA;NA;NA;NA;2;NA;NA;0;NA;1;NA
23;147;349;6;497;113;29;152;23;35;22;43;63;42;9;0;0;37;14;3;1;3;NA;9;0;4;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;1;6;14;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;NA
24;149;345;3;839;186;34;142;10;86;2;114;80;69;10;3;5;20;19;16;0;1;NA;6;5;6;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;5;1;0;0;NA;NA;NA;NA;NA;NA;1;NA;NA;0;NA;0;NA
25;149;475;0;718;240;49;103;82;NA;31;181;78;64;18;2;36;NA;16;21;5;8;NA;NA;1;10;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;3;14;0;NA;NA;NA;NA;NA;NA;1;NA;NA;0;NA;NA;NA
26;123;427;6;773;231;61;98;44;NA;38;260;112;78;22;2;34;NA;22;8;0;2;NA;NA;3;4;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;10;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
27;129;627;3;844;365;75;139;63;NA;40;210;93;82;20;0;59;NA;NA;30;1;6;NA;NA;3;4;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;5;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
28;127;793;7;821;299;91;113;110;NA;33;180;132;192;18;5;69;NA;NA;40;2;2;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
29;122;651;3;913;320;100;122;140;NA;36;382;93;123;12;4;50;NA;NA;39;1;5;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
30;143;601;8;748;294;112;0;149;NA;59;564;175;183;10;2;15;NA;NA;NA;1;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
31;157;743;9;923;419;130;205;236;NA;74;569;135;132;18;7;NA;NA;NA;NA;2;4;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
32;144;683;0;961;502;145;2;267;NA;55;685;166;140;NA;7;NA;NA;NA;NA;4;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
33;139;712;9;850;511;187;150;372;NA;48;709;149;NA;NA;5;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
34;123;919;6;749;1355;168;70;445;NA;55;NA;166;NA;NA;6;NA;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA
